Title,Hammer_Price,Low_Estimate_price,High_Estimate_price,Signature,Size,created_date,Medium,Auction_Lot,Auction_House,Auction_Date,sold_status,height,width
VÉTHEUIL,5075000,4000000,6000000,Signed and Dated,60.02 x 80.01,1880,Oil / Canvas,8,Sotheby's New York,"05/16/2017
                ",sold,80.01,60.02
LE BASSIN AUX NYMPHÉAS,15987500,14000000,18000000,Stamped,97.16 x 129.87,1917-20,Oil / Canvas,22,Sotheby's New York,"05/16/2017
                ",sold,129.87,97.16
Waterloo Bridge,511500,400000,600000,Signed Lower Right,31.12 x 48.26,1901,Pastel / Paper,163,"Christie's New York, Rockefeller Center","05/16/2017
                ",sold,48.26,31.12
"La berge du Petit-Gennevilliers, soleil couchant",2767500,3000000,5000000,Signed Lower Right,53.67 x 75.26,1875,Oil / Canvas,16A,"Christie's New York, Rockefeller Center","05/15/2017
                ",sold,75.26,53.67
"La route de Vétheuil, effet de neige",11447500,10000000,15000000,Signed and Dated,61.29 x 81.61,1879,Oil / Canvas,20A,"Christie's New York, Rockefeller Center","05/15/2017
                ",sold,81.61,61.29
"Printemps à Giverny, effet d'après-midi",4167500,4000000,6000000,Signed and Dated,60.33 x 81.61,1885,Oil / Canvas,21A,"Christie's New York, Rockefeller Center","05/15/2017
                ",sold,81.61,60.33
"Route à Louveciennes, neige fondante, soleil couchant",4727500,4000000,6000000,Signed Lower Right,40.97 x 54.31,1869-70,Oil / Canvas,37A,"Christie's New York, Rockefeller Center","05/15/2017
                ",sold,54.31,40.97
Nympheas ,0,176000,264000,Unavailable,32.00 x 46.00,nogiven,Oil / Canvas,1095,Mainichi Auction Inc.,"05/13/2017
                ",not sold,46.0,32.0
"""Nymphéas"", 1920",58710,53370,85390,Unavailable,36.00 x 45.50,nogiven,Oil / Canvas,89,Mirabaud & Mercier (form. Audap & Mirabaud,"03/24/2017
                ",sold,45.5,36.0
LA SEINE À LAVACOURT,1114130,735600,980800,Unavailable,46.00 x 61.00,1879,Oil / Canvas,130,"Sotheby's London, New Bond Street","03/02/2017
                ",sold,61.0,46.0
Les bords de la Seine au Petit-Gennevilliers,4394620,2493400,3740100,Signed Lower Left,54.20 x 73.00,1874,Oil / Canvas,7,"Christie's London, King Street","02/28/2017
                ",sold,73.0,54.2
Saules au bord de l’Yerres,3836100,1870050,3116750,Signed and Dated,54.40 x 65.70,1876,Oil / Canvas,21,"Christie's London, King Street","02/28/2017
                ",sold,65.7,54.4
CHEMIN DE LA CAVEE POURVILLE .,0,250000,350000,Signed,45.09 x 31.12,nogiven,Oil / Canvas,48,Palm Beach Modern Auctions,"12/17/2016
                ",not sold,31.12,45.09
"L'Enfant à la tasse, portrait de Jean Monet",0,586040,732550,Signed and Dated,46.00 x 33.00,1868,Oil / Canvas,1,Auctionata,"12/16/2016
                ",not sold,33.0,46.0
Le peintre Azaïsse,56250,20000,30000,Unavailable,40.97 x 30.18,nogiven,Charcoal / Paper,1078,"Christie's New York, Rockefeller Center","11/17/2016
                ",sold,30.18,40.97
La Vague,3547500,1500000,2500000,Stamped,55.25 x 73.99,Septembe1880,Oil / Canvas,7B,"Christie's New York, Rockefeller Center","11/16/2016
                ",sold,73.99,55.25
Meule,81447500,0,0,Signed Lower Left,72.72 x 92.08,1891,Oil / Canvas,9B,"Christie's New York, Rockefeller Center","11/16/2016
                ",sold,92.08,72.72
Les bords de la Seine près d’Argenteuil,3607500,3000000,5000000,Signed Lower Right,54.31 x 73.36,1874,Oil / Canvas,38B,"Christie's New York, Rockefeller Center","11/16/2016
                ",sold,73.36,54.31
"L’Ancienne rue de la Chaussée, Argenteuil",0,6558300,9473100,Signed Lower Right,46.30 x 65.70,1872,Oil / Canvas,20,"Christie's London, King Street","06/22/2016
                ",not sold,65.7,46.3
